code1,code2
0.015,0.031
0.124,0.031
0.39,2
0.077,0.046
0.062,0.703
0.546,0.031
0.327,0.046
0.093,0.077
0.264,0.078
0.108,0.016
0.797,0.327
0.031,0.046
0.093,0.015
0.046,0.281
0.375,0.625
0.186,0.062
0.141,0.312
0.015,0.468
0.031,0.186
0.108,0.047
0.015,0.234
0.062,0.874
0.046,0.03
2.843,0.203
0.218,0.296
0.015,0.156
9.984,0.188
0.124,0
0.015,0.061
0.061,0.14
0.046,0.078
0.015,0.108
0.016,0.281
0.015,0.015
1.265,0.062
0.031,0.015
0.156,0.077
0.109,0.171
0.156,0.047
0.03,0.015
0.312,0.077
0.093,0.109
0.264,0.031
0.031,0.046
0.531,0.061
0.077,11.453
0.047,0.108
0.78,0.061
0.265,0.124
0.092,0.14
0.092,0.015
0.28,0.016
1.296,0.155
0.436,0.484
0.202,1.046
0.124,0.015
0.093,0.015
0.546,0.265
0.016,0.108
0.093,0.077
0.031,1.469
0.078,1.047
0.157,0.187
0.031,0.046
0.234,0.015
0.547,0.03
0.046,0.219
0.031,0.14
0.031,0.016
0.656,0.015
0.015,0.171
0.015,5.296
0.046,0.031
0.015,0.218
0.015,0
0.14,0.437
0.344,0.046
0.108,0.125
0.061,0.187
0.016,0.406
0,0.108
0.124,0.077
0.092,0.093
0.077,0.89
0.265,0.031
3.75,0.124
0.062,0.624
21.765,0.124
0.234,0.016
0.015,0.422
0.062,0.171
0.265,0.156
0.061,0.078
0.312,0.639
0.297,0.015
0.046,0.625
0.203,0.437
0.108,0.077
0.046,0.156
0.108,0.031
